,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration
8,2025-02-28 20:59:38+00:00,180.0,0.13,0.12,0.14,-0.040000007,-23.529415,5435.0,29544,1.470705771484375,False,REGULAR,USD,put,2025-03-07,6
9,2025-02-28 20:58:08+00:00,190.0,0.18,0.15,0.24,-0.029999986,-14.285707,2865.0,3366,1.3925811621093749,False,REGULAR,USD,put,2025-03-07,6
10,2025-02-28 20:59:15+00:00,200.0,0.23,0.2,0.22,-0.08999999,-28.124996,16196.0,22520,1.2578162109375,False,REGULAR,USD,put,2025-03-07,6
11,2025-02-28 20:59:39+00:00,210.0,0.26,0.25,0.29,-0.15,-36.585365,6656.0,3044,1.1552776611328124,False,REGULAR,USD,put,2025-03-07,6
12,2025-02-28 20:59:49+00:00,220.0,0.34,0.31,0.36,-0.22999999,-40.350876,5100.0,66122,1.0478563232421876,False,REGULAR,USD,put,2025-03-07,6
13,2025-02-28 20:59:38+00:00,230.0,0.43,0.43,0.46,-0.39999998,-48.19277,4947.0,1742,0.9521489160156249,False,REGULAR,USD,put,2025-03-07,6
14,2025-02-28 20:59:34+00:00,235.0,0.49,0.49,0.51,-0.55999994,-53.33333,2971.0,2262,0.8989267919921874,False,REGULAR,USD,put,2025-03-07,6
15,2025-02-28 20:59:49+00:00,240.0,0.6,0.59,0.63,-0.77,-56.20438,8510.0,2362,0.85937640625,False,REGULAR,USD,put,2025-03-07,6
16,2025-02-28 20:59:40+00:00,245.0,0.75,0.73,0.76,-1.04,-58.100555,2931.0,977,0.8188494677734374,False,REGULAR,USD,put,2025-03-07,6
17,2025-02-28 20:59:58+00:00,250.0,0.95,0.94,0.96,-1.3,-57.777775,26018.0,11433,0.7861349511718749,False,REGULAR,USD,put,2025-03-07,6
18,2025-02-28 20:59:56+00:00,255.0,1.24,1.22,1.26,-1.81,-59.34426,4263.0,2673,0.7573266455078126,False,REGULAR,USD,put,2025-03-07,6
